epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,17538.1,0.98514,0.55502,0.97083,0.62529,0.65493,0.6206,0.43999,1.21221,0.63198,1.02207,0.000838141,0.000838141,0.000838141
55,17840.1,0.95471,0.54672,0.9727,0.86839,0.58113,0.64044,0.44314,1.22403,0.63933,1.02667,0.000832349,0.000832349,0.000832349
56,18143.8,0.95234,0.54486,0.96963,0.73906,0.60027,0.63079,0.43884,1.21957,0.63557,1.02494,0.000826477,0.000826477,0.000826477
57,18441.2,0.96114,0.53964,0.96461,0.84962,0.6079,0.663,0.46361,1.21416,0.62399,1.01947,0.000820525,0.000820525,0.000820525
58,18729.3,0.94722,0.53471,0.96316,0.65098,0.66181,0.64822,0.44325,1.21914,0.6287,1.01852,0.000814495,0.000814495,0.000814495
59,19004.8,0.96208,0.53118,0.96201,0.72605,0.64126,0.65622,0.45491,1.21804,0.60348,1.01626,0.000808389,0.000808389,0.000808389
60,19280.2,0.95555,0.53203,0.96191,0.74855,0.60297,0.6578,0.45849,1.21462,0.61622,1.01689,0.000802208,0.000802208,0.000802208
61,19557.1,0.94208,0.52046,0.96268,0.71345,0.64264,0.6604,0.45651,1.21077,0.61021,1.01895,0.000795954,0.000795954,0.000795954
62,19832.2,0.93985,0.53094,0.96188,0.85366,0.59012,0.63948,0.43552,1.20014,0.59827,1.01435,0.000789628,0.000789628,0.000789628
63,20120,0.93659,0.52647,0.96311,0.85328,0.58235,0.63562,0.42837,1.21039,0.60989,1.01282,0.000783231,0.000783231,0.000783231
64,20412.1,0.94467,0.51817,0.95483,0.86052,0.58913,0.63906,0.43333,1.21009,0.61525,1.01271,0.000776766,0.000776766,0.000776766
65,20702.4,0.93363,0.51204,0.95401,0.84555,0.60127,0.63285,0.4307,1.2118,0.60328,1.01241,0.000770234,0.000770234,0.000770234
66,20995.8,0.93103,0.52197,0.96063,0.85445,0.59088,0.63334,0.43185,1.21523,0.61875,1.01758,0.000763637,0.000763637,0.000763637
67,21288.6,0.93463,0.51163,0.95887,0.8535,0.58834,0.63324,0.4337,1.21159,0.61253,1.01916,0.000756976,0.000756976,0.000756976
68,21581.5,0.93868,0.51946,0.95661,0.83533,0.58857,0.66292,0.45621,1.2177,0.63511,1.02594,0.000750252,0.000750252,0.000750252
69,21873.8,0.93274,0.50928,0.95765,0.84726,0.59366,0.64313,0.43794,1.21604,0.614,1.02098,0.000743468,0.000743468,0.000743468
70,22166.1,0.9359,0.51471,0.95606,0.82998,0.60036,0.6477,0.45138,1.21386,0.62352,1.02046,0.000736625,0.000736625,0.000736625
71,22458.5,0.92581,0.50893,0.95477,0.85331,0.58252,0.65245,0.45553,1.21055,0.61619,1.01745,0.000729725,0.000729725,0.000729725
72,22756.2,0.9131,0.50045,0.95104,0.64999,0.68189,0.68071,0.47678,1.21548,0.62314,1.02648,0.00072277,0.00072277,0.00072277
73,23053.3,0.93672,0.50711,0.95158,0.85959,0.59043,0.66012,0.45639,1.20814,0.62155,1.02164,0.000715761,0.000715761,0.000715761
74,32003.9,0.9224,0.5006,0.95018,0.92235,0.59625,0.65847,0.45335,1.21538,0.62034,1.03262,0.0007087,0.0007087,0.0007087
75,32338.9,0.91739,0.50137,0.95282,0.93605,0.58841,0.62835,0.42653,1.21414,0.61547,1.02732,0.000701588,0.000701588,0.000701588
76,32673.2,0.93158,0.50159,0.94948,0.83841,0.60308,0.63192,0.42923,1.20607,0.61224,1.02255,0.000694428,0.000694428,0.000694428
77,33008.1,0.93151,0.49967,0.94888,0.85139,0.59473,0.63171,0.42166,1.21165,0.62307,1.02765,0.000687222,0.000687222,0.000687222
78,33355.1,0.91931,0.49763,0.95293,0.67881,0.64822,0.64452,0.43811,1.20639,0.59917,1.02134,0.00067997,0.00067997,0.00067997
79,33729.2,0.90552,0.49612,0.94953,0.84879,0.59353,0.64346,0.44364,1.20492,0.60127,1.02181,0.000672675,0.000672675,0.000672675
80,448.396,0.91053,0.48233,0.94119,0.84708,0.59558,0.63474,0.44066,1.20369,0.61206,1.02248,0.000665339,0.000665339,0.000665339
81,762.896,0.90131,0.48997,0.94658,0.83995,0.59731,0.63621,0.44153,1.20943,0.61925,1.02779,0.000657963,0.000657963,0.000657963
82,1078.67,0.90027,0.48728,0.94969,0.82649,0.60324,0.63555,0.44571,1.20826,0.61513,1.02582,0.00065055,0.00065055,0.00065055
83,1416.57,0.91865,0.49243,0.94603,0.64567,0.64467,0.64512,0.44751,1.20823,0.61156,1.02394,0.000643101,0.000643101,0.000643101
84,1727.08,0.91341,0.48674,0.94488,0.80859,0.63583,0.65798,0.46132,1.20929,0.61955,1.02203,0.000635617,0.000635617,0.000635617
85,2161.06,0.91764,0.49068,0.94411,0.81238,0.62956,0.65562,0.46009,1.20305,0.61968,1.0192,0.000628101,0.000628101,0.000628101
86,2486.54,0.89794,0.48148,0.94355,0.82606,0.63122,0.66043,0.4638,1.20009,0.62448,1.01768,0.000620555,0.000620555,0.000620555
87,2798.65,0.90382,0.48573,0.94185,0.8443,0.62064,0.6602,0.46221,1.19673,0.62194,1.01784,0.000612981,0.000612981,0.000612981
88,3111.19,0.90222,0.48579,0.94358,0.84739,0.6205,0.66009,0.45332,1.1973,0.61309,1.0165,0.00060538,0.00060538,0.00060538
89,3422.88,0.90441,0.47774,0.93875,0.74298,0.63473,0.65981,0.46325,1.19709,0.62213,1.01941,0.000597754,0.000597754,0.000597754
